Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,2,1351,2,9,4,0,1,1,66,4,1,2,2,0,2810,9238,1,0,22,4,2,0,5,3,3,5,4,0,2
56,0,1443,0,11,5,3,4,0,89,2,2,2,1,0,5380,20328,4,0,16,3,3,1,6,3,3,0,0,0,0
35,0,1232,0,16,3,3,3,1,96,3,3,2,2,0,8020,5100,0,0,15,3,3,2,12,3,2,11,9,6,9
45,0,176,2,4,3,0,3,0,56,1,3,1,3,0,9756,6595,4,0,21,4,3,2,9,2,4,5,0,0,3
34,1,988,2,23,3,5,2,0,43,3,3,1,1,1,9950,11533,9,1,15,3,3,3,11,2,3,3,2,0,2
32,0,634,1,5,4,4,2,0,35,4,1,1,4,0,3312,18783,3,0,17,3,4,2,6,3,3,3,2,0,2
26,0,683,1,2,1,2,1,1,36,2,1,1,4,2,3904,4050,0,0,12,3,4,0,5,2,3,4,3,1,1
38,1,1189,1,1,3,0,4,1,90,3,2,2,4,0,4735,9867,7,0,15,3,4,2,19,4,4,13,11,2,9
31,0,688,0,7,3,0,3,1,44,2,3,0,4,1,11557,25291,9,0,21,4,3,1,10,3,2,5,4,0,1
49,0,1184,0,11,3,3,3,0,43,3,3,2,4,0,7654,5860,1,0,18,3,1,2,9,3,4,9,8,7,7
31,0,1463,1,23,3,2,2,1,64,2,2,2,4,0,5582,14408,0,0,21,4,2,1,10,2,3,9,0,7,8
45,2,1238,1,1,1,0,3,1,74,2,3,2,3,0,10748,3395,3,0,23,4,4,1,25,3,2,23,15,14,4
30,0,855,0,7,4,3,4,0,73,3,2,2,1,1,4779,12761,7,0,14,3,2,2,8,3,3,3,2,0,2
39,0,466,1,1,1,0,4,0,65,2,4,3,4,0,12742,7060,1,0,16,3,3,1,21,3,3,21,6,11,8
29,0,942,1,15,1,0,2,0,69,1,1,2,4,0,2168,26933,0,1,18,3,1,1,6,2,2,5,4,1,3
33,0,134,1,2,3,0,3,1,90,3,1,1,4,2,2500,10515,0,0,14,3,1,0,4,2,4,3,1,0,2
26,2,265,0,29,2,2,2,1,79,1,2,2,1,2,4969,21813,8,0,18,3,4,0,7,6,3,2,2,2,2
33,0,211,0,16,3,0,1,0,74,3,3,2,1,2,8564,10092,2,1,20,4,3,0,11,2,2,0,0,0,0
19,0,489,2,2,2,1,1,1,52,2,1,1,4,2,2564,18437,1,0,12,3,3,0,1,3,4,1,0,0,0
34,1,702,1,16,4,0,3,0,100,2,1,1,4,2,2553,8306,1,0,16,3,3,0,6,3,3,5,2,1,3
23,0,1309,1,26,1,0,3,1,83,3,1,2,4,1,2904,16092,1,0,12,3,3,2,4,2,2,4,2,0,2
33,2,530,0,16,3,0,3,0,36,3,2,2,4,1,5368,16130,1,1,25,4,3,1,7,2,3,6,5,1,2
30,0,1334,0,4,2,2,3,0,63,2,2,2,2,1,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7
36,0,1396,1,5,2,0,4,1,62,3,2,2,2,2,5914,9945,8,0,16,3,4,0,16,3,4,13,11,3,7
38,0,1180,1,29,1,2,2,1,70,3,2,2,1,0,6673,11354,7,1,19,3,2,0,17,2,3,1,0,0,0
34,0,470,2,2,4,0,4,1,84,2,2,3,1,0,5957,23687,6,0,13,3,2,1,13,3,3,11,9,5,9
45,0,788,2,24,4,2,2,1,36,3,1,1,2,2,2177,8318,1,0,16,3,1,0,6,3,3,6,3,0,4
36,0,660,1,15,3,4,1,1,81,3,2,2,3,1,4834,7858,7,0,14,3,2,1,9,3,2,1,0,0,0
38,0,1321,0,1,4,0,4,1,86,3,2,2,2,0,4440,7636,0,0,15,3,1,2,16,3,3,15,13,5,8
48,0,163,0,2,5,3,2,0,37,3,2,2,4,0,4051,19658,2,0,14,3,1,1,14,2,3,9,7,6,7
23,0,1309,1,26,1,0,3,1,83,3,1,1,4,1,2904,16092,1,0,12,3,3,2,4,2,2,4,2,0,2
54,1,1050,2,11,4,2,2,0,87,3,4,1,4,1,16032,24456,3,0,20,4,1,1,26,2,3,14,9,1,12
29,0,592,2,7,3,0,4,1,59,3,1,2,1,2,2062,19384,3,0,14,3,2,0,11,2,3,3,2,1,2
32,0,371,0,19,3,0,4,1,80,1,3,2,3,0,9610,3840,3,0,13,3,3,1,10,2,1,4,3,0,2
34,0,1107,2,9,4,1,1,0,52,3,1,1,3,0,2742,3072,1,0,15,3,4,0,2,0,3,2,2,2,2
27,1,472,2,1,1,1,3,1,60,2,2,3,1,0,4298,9679,5,0,19,3,3,1,6,1,3,2,2,2,0
32,1,689,0,9,2,2,4,1,35,1,2,2,4,1,4668,22812,0,0,17,3,4,3,9,2,4,8,7,0,7
40,0,1202,1,2,1,2,2,0,89,4,2,1,3,1,6377,13888,5,0,20,4,2,3,15,0,3,12,11,11,8
35,0,737,0,10,3,2,4,1,55,2,3,2,1,0,10306,21530,9,0,17,3,3,0,15,3,3,13,12,6,0
31,1,793,0,20,3,0,3,1,67,4,1,1,4,0,2791,21981,0,0,12,3,1,1,3,4,3,2,2,2,2
48,0,530,0,29,1,2,1,0,91,3,3,0,3,0,12504,23978,3,0,21,4,2,1,15,3,1,0,0,0,0
32,1,585,1,10,3,0,1,1,56,3,1,1,3,0,3433,17360,6,0,13,3,1,1,10,3,2,5,2,1,3
41,0,796,0,4,1,3,3,0,81,3,3,2,3,1,10447,26458,0,1,13,3,4,1,23,3,4,22,14,13,5
28,2,1366,1,24,2,1,2,1,72,2,3,1,1,2,8722,12355,1,0,12,3,1,0,10,2,2,10,7,1,9
53,0,102,1,23,4,0,4,0,72,3,4,0,4,2,14275,20206,6,0,18,3,3,0,33,0,3,12,9,3,8
37,0,977,2,1,3,0,4,0,56,2,2,3,4,0,6474,9961,1,0,13,3,2,1,14,2,2,14,8,3,11
34,0,704,0,28,3,3,4,0,95,2,2,3,3,0,6712,8978,1,0,21,4,4,2,8,2,3,8,7,1,7
28,0,1423,1,1,3,0,1,1,72,2,1,2,3,1,1563,12530,1,0,14,3,4,1,1,2,1,1,0,0,0
35,0,607,1,9,3,0,4,0,66,2,3,3,3,0,10685,23457,1,1,20,4,2,1,17,2,3,17,14,5,15
45,0,252,2,1,3,4,3,1,70,4,5,1,4,0,19202,15970,0,0,11,3,3,1,25,2,3,24,0,1,7
24,1,535,0,24,3,2,4,1,38,3,1,1,4,0,2400,5530,0,0,13,3,3,2,3,3,3,2,2,2,1
39,0,408,1,2,4,1,4,0,80,2,2,2,3,2,4553,20978,1,0,11,3,1,0,20,4,3,20,7,11,10
27,0,1240,2,2,4,0,4,0,33,3,1,2,1,1,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0
47,0,1454,0,2,4,0,4,0,65,2,1,1,4,2,3294,13137,1,1,18,3,1,0,3,3,2,3,2,1,2
32,0,646,1,9,4,0,1,0,92,3,2,1,4,0,6322,18089,1,1,12,3,4,1,6,2,2,6,4,0,5
41,0,263,1,6,3,2,4,1,59,3,1,2,1,2,4721,3119,2,1,13,3,3,0,20,3,3,18,13,2,17
29,0,408,0,23,1,0,4,0,45,2,3,2,1,0,7336,11162,1,0,13,3,1,1,11,3,1,11,8,3,10
37,0,1305,1,10,4,0,3,1,49,3,2,3,2,2,4197,21123,2,1,12,3,4,0,18,2,2,1,0,0,1
31,0,655,1,7,4,0,4,1,48,3,2,2,4,1,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7
45,0,1448,1,29,3,1,2,1,55,3,3,3,4,0,9380,14720,4,1,18,3,4,2,10,4,4,3,1,1,2
27,0,1115,1,3,4,2,1,1,54,2,1,1,4,2,2045,15174,0,0,13,3,4,0,5,0,3,4,2,1,1
34,0,254,1,1,2,0,2,1,83,2,1,1,4,0,3622,22794,1,1,13,3,4,1,6,3,3,6,5,1,3
34,1,658,1,7,3,0,1,1,66,1,2,2,3,2,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6
39,0,1132,1,1,3,2,3,1,48,4,3,2,4,1,9613,10942,0,0,17,3,1,3,19,5,2,18,10,3,7
52,1,322,1,28,2,2,4,0,59,4,4,3,3,0,13247,9731,2,1,11,3,2,1,24,3,2,5,3,0,2
52,0,1490,2,4,2,0,4,0,30,3,4,1,4,0,16555,10310,2,0,13,3,4,0,31,2,1,5,2,1,4
32,0,1062,1,2,3,2,3,0,75,3,1,2,2,0,2370,3956,1,0,13,3,3,1,8,4,3,8,0,0,7
35,0,950,2,7,3,4,3,1,59,3,3,3,3,2,10221,18869,3,0,21,4,2,0,17,3,4,8,5,1,6
50,0,328,1,1,3,2,3,1,86,2,1,2,3,0,3690,3425,2,0,15,3,4,1,5,2,2,3,2,0,2
31,0,1112,0,5,4,0,1,0,67,3,2,2,4,0,5476,22589,1,0,11,3,1,2,10,2,3,10,0,0,2
19,0,528,0,22,1,3,4,1,50,3,1,1,3,2,1675,26820,1,1,19,3,4,0,0,2,2,0,0,0,0
32,2,1474,0,11,4,4,4,1,60,4,2,2,3,0,4707,23914,8,0,12,3,4,0,6,2,3,4,2,1,2
38,1,240,2,2,4,0,1,0,75,4,2,3,1,2,5980,26085,6,1,12,3,4,0,17,2,3,15,7,4,12
41,0,930,0,3,3,0,3,1,57,2,2,2,2,1,8938,12227,2,0,11,3,3,1,14,5,3,5,4,0,4
42,0,1265,1,3,3,0,3,0,95,4,2,2,4,0,5231,23726,2,1,13,3,2,1,17,1,2,5,3,1,3
22,0,253,1,11,3,2,1,0,43,3,1,1,2,0,2244,24440,1,0,13,3,4,1,2,1,3,2,1,1,2
44,0,1459,1,10,4,4,4,1,41,3,2,2,4,0,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3
40,0,804,1,2,1,2,4,0,86,2,1,1,4,2,2342,22929,0,1,20,4,4,0,5,2,2,4,2,2,3
50,0,1322,1,28,3,0,4,0,43,3,4,0,1,0,16880,22422,4,1,11,3,2,0,25,2,3,3,2,1,2
44,0,921,1,2,3,0,3,0,96,4,3,2,4,0,7879,14810,1,1,19,3,2,1,9,2,3,8,7,6,7
51,0,684,2,6,3,0,1,1,51,3,5,3,3,2,19537,6462,7,0,13,3,3,0,23,5,3,20,18,15,15
53,0,238,0,1,1,2,4,0,34,3,2,2,1,2,8381,7507,7,0,20,4,4,0,18,2,4,14,7,8,10
25,0,949,1,1,3,1,1,1,81,3,1,2,4,0,3229,4910,4,0,11,3,2,1,7,2,2,3,2,0,2
33,0,867,1,8,4,0,4,1,90,4,1,1,1,0,3143,6076,6,0,19,3,2,1,14,1,3,10,8,7,6
26,0,471,1,24,3,1,3,1,66,1,1,2,4,2,2340,23213,1,1,18,3,2,0,1,3,1,1,0,0,0
31,0,1112,0,5,4,0,1,0,67,3,2,2,4,0,5476,22589,1,0,11,3,1,2,10,2,3,10,0,0,2
35,0,583,1,25,4,2,3,0,57,3,3,2,3,1,10388,6975,1,1,11,3,3,1,16,3,2,16,10,10,1
39,1,1218,2,1,1,0,2,1,52,3,5,1,3,1,19197,8213,1,1,14,3,3,1,21,3,3,21,8,1,6
31,2,979,2,1,4,2,3,1,90,1,2,3,3,0,4345,4381,0,0,12,3,4,1,6,2,3,5,4,1,4
48,2,1262,2,1,4,2,1,1,35,4,4,1,4,2,16885,16154,2,0,22,4,3,0,27,3,2,5,4,2,1
50,1,333,1,22,5,2,3,1,88,1,4,0,4,2,14411,24450,1,1,13,3,4,0,32,2,3,32,6,13,9
34,2,967,2,16,4,1,4,1,85,1,1,1,1,0,2307,14460,1,1,23,4,2,1,5,2,3,5,2,3,0
41,0,465,1,14,3,0,1,1,56,3,1,1,3,1,2451,4609,4,0,12,3,1,1,13,2,3,9,8,1,8
38,1,216,1,23,3,0,4,1,44,2,3,3,3,2,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8
58,2,390,1,1,4,0,4,1,32,1,2,2,3,1,5660,17056,2,1,13,3,4,1,12,2,3,5,3,1,2
22,0,604,1,6,1,2,1,1,69,3,1,1,3,0,2773,12145,0,0,20,4,4,0,3,3,3,2,2,2,2
22,2,457,1,26,2,4,2,0,85,2,1,1,3,0,2814,10293,1,1,14,3,2,0,4,2,2,4,2,1,3
49,1,636,2,10,4,0,3,0,35,3,5,1,1,2,18665,25594,9,1,11,3,4,0,22,4,3,3,2,1,2
34,0,810,0,8,2,1,2,1,92,4,2,2,3,0,6799,22128,1,0,21,4,3,2,10,5,3,10,8,4,8
33,0,1242,0,8,4,0,1,1,46,3,2,2,1,0,6392,10589,2,0,13,3,4,1,8,6,1,2,2,2,2
34,0,258,0,21,4,0,4,1,74,4,2,2,4,2,5337,19921,1,0,12,3,4,0,10,3,3,10,7,5,7
26,0,482,2,1,2,0,2,0,90,2,1,1,3,0,2933,14908,1,1,13,3,3,1,1,3,2,1,0,1,0
40,2,218,1,8,1,2,4,1,55,2,3,0,2,1,13757,25178,2,0,11,3,3,1,16,5,3,9,8,4,8
47,2,543,0,2,4,3,3,1,87,3,2,2,2,0,4978,3536,7,0,11,3,4,1,4,3,1,1,0,0,0
34,0,546,1,10,3,0,2,1,83,3,1,2,2,1,2008,6896,1,0,14,3,2,2,1,3,3,1,0,1,0
44,0,986,1,8,4,0,1,1,62,4,1,2,4,0,2818,5044,2,1,24,4,3,1,10,2,2,3,2,0,2
42,1,748,2,9,2,2,1,0,74,3,1,2,4,2,3673,16458,1,0,13,3,3,0,12,3,3,12,9,5,8
55,0,452,2,1,3,2,4,1,81,3,5,1,1,2,19045,18938,0,1,14,3,3,0,37,2,3,36,10,4,13
21,0,1427,1,18,1,4,4,0,65,3,1,1,4,2,2693,8870,1,0,19,3,1,0,1,3,2,1,0,0,0
43,0,1179,0,2,3,2,4,1,73,3,2,2,4,0,7847,6069,1,1,17,3,1,1,10,3,3,10,9,8,8
37,0,161,2,10,3,0,3,0,42,4,3,0,4,0,13744,15471,1,1,25,4,1,1,16,2,3,16,11,6,8
48,0,1108,1,15,4,4,3,0,65,3,1,1,1,0,2367,16530,8,0,12,3,4,1,10,3,2,8,2,7,6
59,0,326,0,3,3,0,3,0,48,2,2,2,4,2,5171,16490,5,0,17,3,4,0,13,2,3,6,1,0,5
27,0,1130,0,8,4,3,2,0,56,3,2,2,2,0,6214,3415,1,0,18,3,1,1,8,3,3,8,7,0,7
45,0,252,1,2,3,0,2,0,95,2,1,1,3,2,2274,6153,1,0,14,3,4,0,1,3,3,1,0,0,0
36,0,318,1,9,3,2,4,1,79,2,1,1,3,0,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0
24,1,1287,1,7,3,0,1,0,55,3,1,2,3,0,2886,14168,1,1,16,3,4,1,6,4,3,6,3,1,2
33,0,217,0,10,4,3,2,1,43,3,2,2,3,2,5487,10410,1,0,14,3,2,0,10,2,2,10,4,0,9
